Time,Distance
2023-04-20 06:17:26.373182,-1.30147
2023-04-20 06:17:26.374182,-1.36996
2023-04-20 06:17:26.375182,-1.43846
2023-04-20 06:17:26.376182,-1.50696
2023-04-20 06:17:26.377182,-1.57234
2023-04-20 06:17:26.378182,-1.63462
2023-04-20 06:17:26.379182,-1.7
2023-04-20 06:17:26.380182,-1.75916
2023-04-20 06:17:26.381182,-1.8152
2023-04-20 06:17:26.382182,-1.87436
2023-04-20 06:17:26.383182,-1.92729
2023-04-20 06:17:26.384182,-1.98022
2023-04-20 06:17:26.385182,-2.03004
2023-04-20 06:17:26.386182,-2.07363
2023-04-20 06:17:26.387182,-2.11722
2023-04-20 06:17:26.388182,-2.15769
2023-04-20 06:17:26.389182,-2.19505
2023-04-20 06:17:26.390182,-2.2293
2023-04-20 06:17:26.391182,-2.26044
2023-04-20 06:17:26.392182,-2.28846
2023-04-20 06:17:26.393182,-2.31648
2023-04-20 06:17:26.394182,-2.33828
2023-04-20 06:17:26.395182,-2.36319
2023-04-20 06:17:26.396182,-2.37875
2023-04-20 06:17:26.397182,-2.39432
2023-04-20 06:17:26.398182,-2.40678
2023-04-20 06:17:26.399182,-2.413
2023-04-20 06:17:26.400182,-2.41612
2023-04-20 06:17:26.401182,-2.41612
2023-04-20 06:17:26.402182,-2.41612
2023-04-20 06:17:26.403182,-2.41612
2023-04-20 06:17:26.404182,-2.41612
2023-04-20 06:17:26.405182,-2.40678
2023-04-20 06:17:26.406182,-2.39432
2023-04-20 06:17:26.407182,-2.38187
2023-04-20 06:17:26.408182,-2.36319
2023-04-20 06:17:26.409182,-2.34139
2023-04-20 06:17:26.410182,-2.31648
2023-04-20 06:17:26.411182,-2.29158
2023-04-20 06:17:26.412182,-2.26044
2023-04-20 06:17:26.413182,-2.2293
2023-04-20 06:17:26.414182,-2.19505
2023-04-20 06:17:26.415182,-2.15769
2023-04-20 06:17:26.416182,-2.11722
2023-04-20 06:17:26.417182,-2.07363
2023-04-20 06:17:26.418182,-2.03004
2023-04-20 06:17:26.419182,-1.98022
2023-04-20 06:17:26.420182,-1.92729
2023-04-20 06:17:26.421182,-1.87125
2023-04-20 06:17:26.422182,-1.81209
2023-04-20 06:17:26.423182,-1.75604
2023-04-20 06:17:26.424182,-1.69689
2023-04-20 06:17:26.425182,-1.6315
2023-04-20 06:17:26.426182,-1.56923
2023-04-20 06:17:26.427182,-1.50385
2023-04-20 06:17:26.428182,-1.43535
2023-04-20 06:17:26.429182,-1.36685
2023-04-20 06:17:26.430182,-1.29212
2023-04-20 06:17:26.431182,-1.22051
2023-04-20 06:17:26.432182,-1.14579
